company_name,rating,bio,salary,job,founded_in,field,other,city
Synechron,3.5,IT Services & Consulting | Noida +32 other locations,27900.0,61.0,2001 (25 yrs old),IT Services & Consulting,Noida +32 other locations,noida
Birlasoft,3.5,IT Services & Consulting | Noida +50 other locations,29700.0,475.0,1995 (31 yrs old),IT Services & Consulting,Noida +50 other locations,noida
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances | Noida +165 other locations,23700.0,77.5,,Consumer Electronics & Appliances,Noida +165 other locations,noida
Dabur,3.8,FMCG | Noida +320 other locations,8800.0,22.0,1884 (142 yrs old),FMCG,Noida +320 other locations,noida
Samvardhana Motherson Group,3.7,Auto Components | Noida +93 other locations,12000.0,11.0,1986 (40 yrs old),Auto Components,Noida +93 other locations,noida
JK Cement,4.0,Building Material | Noida +327 other locations,9800.0,1.0,1975 (51 yrs old),Building Material,Noida +327 other locations,noida
Altruist Technologies,4.4,BPO | Noida +45 other locations,8200.0,8.0,2005 (21 yrs old),BPO,Noida +45 other locations,noida
Cogent E Services,3.2,BPO | Noida +55 other locations,10300.0,1.0,2004 (22 yrs old),BPO,Noida +55 other locations,noida
Sodexo,4.0,Facility Management Services | Noida +156 other locations,9700.0,1100.0,1966 (60 yrs old),Facility Management Services,Noida +156 other locations,noida
Bharat Electronics,4.2,Electronics Manufacturing | Noida +87 other locations,12300.0,77.5,1954 (72 yrs old),Electronics Manufacturing,Noida +87 other locations,noida
KPIT Technologies,2.9,Software Product | Noida +44 other locations,22900.0,46.0,1990 (36 yrs old),Software Product,Noida +44 other locations,noida
Kotak Mahindara Life Insurance,3.5,Insurance | Noida +256 other locations,12700.0,199.0,2001 (25 yrs old),Insurance,Noida +256 other locations,noida
Abbott,4.1,Pharma | Noida +214 other locations,11600.0,252.0,1910 (116 yrs old),Pharma,Noida +214 other locations,noida
Reliance Projects & Property Management Services,4.0,Other | Noida +617 other locations,23700.0,77.5,,Other,Noida +617 other locations,noida
Ipca Laboratories,3.8,Pharma | Noida +160 other locations,11500.0,37.0,1949 (77 yrs old),Pharma,Noida +160 other locations,noida
TCS,3.3,IT Services & Consulting | Pune +439 other locations,970000.0,2000.0,1968 (58 yrs old),IT Services & Consulting,Pune +439 other locations,pune
